Feature,Coefficient,Abs_Coefficient
cat__Primary_production_company_StudioCanal,-0.39035508013563097,0.39035508013563097
cat__Primary_production_company_Blue Askew,0.3896682234920937,0.3896682234920937
cat__Primary_production_company_Sunswept Entertainment,0.3883703689457465,0.3883703689457465
cat__Primary_production_company_October Films,-0.3882827474205125,0.3882827474205125
cat__Primary_production_company_Universal,0.386892472454557,0.386892472454557
cat__Primary_production_company_Focus Features,0.38651695443358297,0.38651695443358297
cat__Primary_production_country_France,0.38605640637963656,0.38605640637963656
cat__Primary_production_company_New Zealand Film Commission,-0.3837356059147368,0.3837356059147368
cat__Primary_production_company_Quincy Jones-David Salzman Entertainment,-0.3837104040535111,0.3837104040535111
cat__Primary_production_company_GK Films,0.3827735802615386,0.3827735802615386
cat__Primary_production_company_Bac Films,0.38273314010918996,0.38273314010918996
cat__Primary_production_company_Initial Entertainment Group (IEG),-0.3816005736256417,0.3816005736256417
cat__Primary_production_company_Wadleigh-Maurice,0.38131100374692745,0.38131100374692745
cat__Primary_production_company_The Mark Gordon Company,0.37964034285560433,0.37964034285560433
cat__Primary_production_company_Bungalow Productions,0.3785801677341519,0.3785801677341519
cat__Primary_production_company_O Entertainment,0.3785558432498139,0.3785558432498139
cat__Primary_production_company_Antena 3 Films,-0.37657136301237376,0.37657136301237376
cat__Primary_production_company_Thinkfilm,-0.3746281055435285,0.3746281055435285
cat__Primary_production_country_Aruba,-0.3744127628836956,0.3744127628836956
cat__Primary_production_company_Granada Film Productions,-0.3732400662743262,0.3732400662743262
cat__Primary_production_company_United Artists Corporation,-0.3711599852767748,0.3711599852767748
cat__Primary_production_company_The Kushner-Locke Company,-0.3704824180075562,0.3704824180075562
cat__Primary_production_company_Golden Harvest Company,-0.3696790179388665,0.3696790179388665
cat__Primary_production_company_ITC Entertainment,-0.36733283075512413,0.36733283075512413
cat__Primary_production_company_Industry Entertainment,-0.36688848238312965,0.36688848238312965
cat__Primary_production_company_Cinema 77,-0.365664049104062,0.365664049104062
cat__Primary_production_company_Q Productions,0.365458458222594,0.365458458222594
cat__Primary_production_company_Green Moon Productions,-0.36345998843758576,0.36345998843758576
cat__Primary_production_company_K. JAM Media,-0.36315488282347264,0.36315488282347264
cat__Primary_production_company_Ecosse Films,0.36274914844908307,0.36274914844908307
cat__Primary_production_company_Laura Ziskin Productions,0.36246111904065004,0.36246111904065004
cat__Primary_production_company_Laurence Mark Productions,0.361687502280829,0.361687502280829
cat__Primary_genre_TV Movie,-0.36142087764793807,0.36142087764793807
cat__Primary_genre_Science Fiction,0.36020682392635167,0.36020682392635167
cat__Primary_production_company_Vía Digital,-0.36010161224507764,0.36010161224507764
cat__Primary_production_company_Yari Film Group,-0.3592539244328722,0.3592539244328722
cat__Primary_production_company_Participant Media,-0.358345877359075,0.358345877359075
cat__Primary_production_company_EuropaCorp,0.3568942479846351,0.3568942479846351
cat__Primary_production_company_New Amsterdam Entertainment,0.3565967542842539,0.3565967542842539
cat__Primary_production_company_Handsomecharlie Films,-0.3562791268833536,0.3562791268833536
cat__Primary_production_company_Trilogy Entertainment Group,-0.3562791268833536,0.3562791268833536
cat__Primary_production_company_Filmways Pictures,0.35625298620042023,0.35625298620042023
cat__Primary_production_company_Franchise Pictures,-0.35575238035218654,0.35575238035218654
cat__Primary_production_company_Cube Vision,-0.3545735566606853,0.3545735566606853
cat__Primary_production_company_Buena Vista,0.3544121613624791,0.3544121613624791
cat__Primary_production_company_Wessler Entertainment,0.35393216957654927,0.35393216957654927
cat__Primary_production_company_Cinestyle Media Group,-0.35319240585545447,0.35319240585545447
cat__Primary_production_company_TinRes Entertainment,-0.35261266566247546,0.35261266566247546
cat__Primary_production_company_Metro-Goldwyn-Mayer (MGM),-0.35227721180326177,0.35227721180326177
cat__Primary_production_company_Paul Schiff Productions,-0.3488122017016418,0.3488122017016418
num__Runtime,0.34873450359898156,0.34873450359898156
cat__Primary_production_company_Cannon Pictures,-0.3482592351844863,0.3482592351844863
cat__Primary_production_company_Polish Brothers Construction,-0.3470165382838833,0.3470165382838833
cat__Primary_production_company_Live Entertainment,-0.34629404333248176,0.34629404333248176
cat__Primary_production_company_La Petite Reine,-0.34160417649577307,0.34160417649577307
cat__Primary_genre_Action,-0.34091444281631916,0.34091444281631916
